按时_2019-05-14 09_2019-05-14 23,,,,
通道名称,统计时间,进入人数,离开人数,查询结果
01-6号货梯厅出入口,2019/05/14 10,1,7,成功
01-6号货梯厅出入口,2019/05/14 11,10,8,成功
01-6号货梯厅出入口,2019/05/14 12,2,4,成功
01-6号货梯厅出入口,2019/05/14 13,5,11,成功
01-6号货梯厅出入口,2019/05/14 14,9,9,成功
01-6号货梯厅出入口,2019/05/14 15,7,4,成功
01-6号货梯厅出入口,2019/05/14 16,3,4,成功
01-6号货梯厅出入口,2019/05/14 17,14,8,成功
01-6号货梯厅出入口,2019/05/14 18,3,3,成功
01-6号货梯厅出入口,2019/05/14 19,2,0,成功
01-6号货梯厅出入口,2019/05/14 20,4,1,成功
01-6号货梯厅出入口,2019/05/14 21,2,0,成功
01-6号货梯厅出入口,2019/05/14 22,4,0,成功
01-6号货梯厅出入口,2019/05/14 23,2,0,成功
11--东中庭出入口,2019/05/14 10,0,0,成功
11--东中庭出入口,2019/05/14 11,45,9,成功
11--东中庭出入口,2019/05/14 12,54,24,成功
11--东中庭出入口,2019/05/14 13,129,27,成功
11--东中庭出入口,2019/05/14 14,132,48,成功
11--东中庭出入口,2019/05/14 15,207,24,成功
11--东中庭出入口,2019/05/14 16,180,33,成功
11--东中庭出入口,2019/05/14 17,138,27,成功
11--东中庭出入口,2019/05/14 18,81,30,成功
11--东中庭出入口,2019/05/14 19,147,45,成功
11--东中庭出入口,2019/05/14 20,279,63,成功
11--东中庭出入口,2019/05/14 21,450,126,成功
11--东中庭出入口,2019/05/14 22,258,123,成功
11--东中庭出入口,2019/05/14 23,0,0,成功
05一楼东边5.6.7客梯厅,2019/05/14 10,32,34,成功
05一楼东边5.6.7客梯厅,2019/05/14 11,57,83,成功
05一楼东边5.6.7客梯厅,2019/05/14 12,67,51,成功
05一楼东边5.6.7客梯厅,2019/05/14 13,83,104,成功
05一楼东边5.6.7客梯厅,2019/05/14 14,144,116,成功
05一楼东边5.6.7客梯厅,2019/05/14 15,121,110,成功
05一楼东边5.6.7客梯厅,2019/05/14 16,122,152,成功
05一楼东边5.6.7客梯厅,2019/05/14 17,127,95,成功
05一楼东边5.6.7客梯厅,2019/05/14 18,84,71,成功
05一楼东边5.6.7客梯厅,2019/05/14 19,145,156,成功
05一楼东边5.6.7客梯厅,2019/05/14 20,131,194,成功
05一楼东边5.6.7客梯厅,2019/05/14 21,153,179,成功
05一楼东边5.6.7客梯厅,2019/05/14 22,131,169,成功
05一楼东边5.6.7客梯厅,2019/05/14 23,13,7,成功
-1.2号客梯厅,2019/05/14 10,12,6,成功
-1.2号客梯厅,2019/05/14 11,21,15,成功
-1.2号客梯厅,2019/05/14 12,18,12,成功
-1.2号客梯厅,2019/05/14 13,18,24,成功
-1.2号客梯厅,2019/05/14 14,15,0,成功
-1.2号客梯厅,2019/05/14 15,42,33,成功
-1.2号客梯厅,2019/05/14 16,12,3,成功
-1.2号客梯厅,2019/05/14 17,21,24,成功
-1.2号客梯厅,2019/05/14 18,12,0,成功
-1.2号客梯厅,2019/05/14 19,3,9,成功
-1.2号客梯厅,2019/05/14 20,15,6,成功
-1.2号客梯厅,2019/05/14 21,21,6,成功
-1.2号客梯厅,2019/05/14 22,9,0,成功
-1.2号客梯厅,2019/05/14 23,21,3,成功
停车场出入口,2019/05/14 10,0,2,成功
停车场出入口,2019/05/14 11,6,8,成功
停车场出入口,2019/05/14 12,50,22,成功
停车场出入口,2019/05/14 13,14,12,成功
停车场出入口,2019/05/14 14,22,6,成功
停车场出入口,2019/05/14 15,14,6,成功
停车场出入口,2019/05/14 16,32,12,成功
停车场出入口,2019/05/14 17,14,4,成功
停车场出入口,2019/05/14 18,16,2,成功
停车场出入口,2019/05/14 19,22,4,成功
停车场出入口,2019/05/14 20,32,20,成功
停车场出入口,2019/05/14 21,50,14,成功
停车场出入口,2019/05/14 22,34,12,成功
停车场出入口,2019/05/14 23,28,20,成功
